Russian_term	English_term	Russian_sentence	English_sentence_expert
свет с круговой поляризацией	circularly polarized light	Спин-орбитальное расщепление валентной зоны приводит к возбуждению электронов с импульсом kz < 0 для света с круговой поляризацией по часовой стрелке (lz = –1), тогда как свет с круговой поляризацией против часовой стрелки (lz = 1) возбуждает электроны с импульсом kz > 0.	Spin–orbit splitting of the valence band leads to excitation of electrons with a momentum kz < 0 for clockwise circularly polarized light (lz = –1), whereas light with counterclockwise circular polarization (lz = 1) excites electrons with the momentum kz > 0.
свидетельствуют о наличии	indicate the presence	Результаты фурье-преобразования изображений кристаллической решетки Ti-слоя свидетельствуют о наличии текстуры – преимущественной ориентации базисных плоскостей ГПУ-решетки вдоль поверхности слоя SiO2, на который напыляли титан.	The results of Fourier transform of the images of the Ti layer lattice indicate the presence of texture (preferred orientation of the basal planes of the hcp lattice over the SiO2 layer surface, on which titanium was deposited).
селективное химическое травление	selective chemical etching	Влажное селективное химическое травление осуществляли в расплаве гидроксида калия (KOH) с добавлением 35 мас. % гидроксида натрия (NaOH) в течение 2 мин с последующим погружением образцов в кипящую воду.	Wet selective chemical etching was performed for 2 min in potassium hydroxide (KOH) melt with addition of 35 wt % sodium hydroxide (NaOH), which was followed by immersion of samples in boiling water.
сечение ослабления света	light attenuation cross section	В приближении однократного рассеяния оптическую плотность можно выразить через сечение ослабления света частицей (e), концентрацию частиц (N) и длину пути света l:	Within the single scattering approximation, the optical density can be expressed in terms of light attenuation cross section by a particle (e), particle concentration (N), and light path length l:
сечение поглощения нейтронов	neutron absorption cross section	Кроме того, для большинства ядер элементов сечение поглощения нейтронов невелико, поэтому глубина проникновения для нейтронов составляет несколько сантиметров.	In addition, the neutron absorption cross section is small for the nuclei of a majority of elements; therefore, the penetration depth for neutrons is several centimeters.
симметрийный и топологический код	symmetry and topology code	Реконструирован симметрийный и топологический код процессов самосборки кристаллических структур интерметаллидов CsnMk из прекурсоров S30 в виде: цепь S31 → слой S32 → каркас S33.	The symmetry and topology code of the self-assembly of crystal structures of CsnMk intermetallic compounds has been reconstructed from precursor metal clusters in the following form: primary chain → microlayer → microframework .
синхротронный источник рентгеновского излучения	synchrotron radiation source	Синхротронный источник рентгеновского излучения обладает яркостью ~1018 фотон/с/мм2/мрад2 (0.1% BW) [1, 9, 10] при длительности импульса порядка сотен пикосекунд и частоте следования импульсов более 100 МГц.	A synchrotron radiation source has a brightness of ~1018 photons/(s mm2 mrad2) (0.1% BW) [1, 9, 10] at a pulse duration on the order of several hundreds of picoseconds and a pulse repetition frequency of more than 100 MHz.
скорость вывода тигля	crucible pulling rate	Скорость вывода тигля не превышала 3 мм/ч.	The crucible pulling rate did not exceed 3 mm/h.
скорость опускания тигля	crucible lowering rate	Скорость опускания тигля равна 3.5 мм/ч, температурный градиент в ростовой зоне – 50 K/см.	The crucible lowering rate was 3.5 mm/h, and the temperature gradient in the growth region was 50 K/cm.
скорость роста слоев	layer growth rate	Дальнейшее увеличение температуры до 800С приводит к тому, что скорость роста слоев снижается практически до нуля из-за увеличения вероятности десорбции частиц с поверхности подложки; на ее поверхности обнаруживаются лишь многочисленные островковые зародыши с латеральным размером до 100 нм без признаков кристаллической огранки.	A further increase in the temperature to 800C reduces the layer growth rate almost to zero because of the increase in the probability of particle desorption from the substrate surface; only numerous island nuclei with a lateral size up to 100 nm with no signs of crystal faceting can be observed on the substrate surface.
скорость света в вакууме	speed of light in vacuum	В нашей работе [83] было показано, что не только вторая, но и любая четная гармоника частоты  приводит к сдвигу нуля ВКИ, но при условии  (где  – длина контура ВКИ,  – эффективный показатель преломления ОВС, из которого изготовлен контур ВКИ, на средней длине волны источника излучения ,  – скорость света в вакууме) основной вклад в сдвиг нуля вносит вторая гармоника.	It was shown in [83] that not only the second but any even harmonic of frequency F shifts the zero of the FRI; however, under the condition F ≈ c/(2Ln) (L is the length of the FRI circuit, n is the effective refractive index of the SMOF forming the FRI circuit at average radiation wavelength λ0, and c is the speed of light in vacuum), the main contribution to the shift of zero is from the second harmonic.
слой объемного заряда	space-charge layer	Рассмотрим плоскую модель разряда, включающую слой объемного заряда размером x1 и плазмы размером L.	Let us consider a two-dimensional model of discharge including the space-charge layer with size x1 and the plasma layer with size L.
составная преломляющая линза	compound refractive lens	Общая схема компьютерного эксперимента: 1 – составная преломляющая линза, 2 – образец, 3 – детектор.	General scheme of the computer experiment: (1) compound refractive lens, (2) sample, and (3) detector.
спектр тормозного излучения	bremsstrahlung spectrum	При повышении лазерной интенсивности до уровня 1016 Вт/см2 спектр тормозного излучения смещается в область высоких энергий (20–100 кэВ), и доля характеристического излучения возрастает [22].	At an increase in the laser intensity to 1016 W/cm2, the bremsstrahlung spectrum shifts to higher energies (20–100 keV), and the fraction of characteristic radiation increases [22].
спектрометр обратного рассеяния	backscattering spectrometer 	В спектрометрах обратной геометрии телесный угол регистрации может достигать подобных или даже бóльших величин при использовании пространственной фокусировки нейтронов, отраженных от специально построенного анализатора на сравнительно небольшой детектор (спектрометр IN1-LAGRANGE [23] (рис. 5), спектрометр обратного рассеяния высокого разрешения IN16B [24] в ILL) или за счет увеличения размеров отражающей кристаллической поверхности вместе с размерами детекторов (спектрометр VISION на источнике SNS [25]).	In inverse-geometry spectrometers, the detection solid angle may reach similar or even larger values as a result of spatial focusing of the neutrons reflected from a specially designed analyzer to a relatively small detector (IN1-LAGRANGE spectrometer [23] (Fig. 5), IN16B high-resolution backscattering spectrometer [24] at the ILL) or due to the increase in the sizes of the reflecting crystal surface, along with the detector sizes (VISION spectrometer on the SNS source [25]).
средний показатель преломления	average refractive index	где  – компоненты псевдотензора гирации,  – средний показатель преломления, λ – длина волны.	where  are the gyration-pseudotensor components,  is the average refractive index, and λ is wavelength.
средний размер зерен	average grain size	После отжига поры методом СЭМ не визуализируются, средний размер зерен составляет 500–600 нм (микрофотография на рис. 2б справа).	After annealing, no pores were visualized in the SEM image, and the average grain size was 500–600 nm (micrograph in Fig. 2b, on the right).
средняя длина пробега	mean free path	Средняя длина пробега НФ в зерне до акта рассеяния на границе l0 = 0.6R [5].	The NP mean free path in a grain before the grain-boundary scattering event is l0 = 0.6R [5].
средняя длина свободного пробега	mean free path	где – средняя относительная скорость соударения молекул примеси и несущего газа (внешней атмосферы), μ – приведенная масса сталкивающихся частиц, kB – постоянная Больцмана, – средняя длина свободного пробега молекул пара в несущем газе (предполагается, что концентрация пара много меньше концентрации несущего инертного газа, ns << n0), σ – сечение столкновения молекулы пара с молекулами несущего газа.	where is the average relative collisional rate of impurity and carrier gas (external atmosphere) molecules, μ is the reduced mass of colliding particles, kB is the Boltzmann constant, is the mean free path of vapor molecules in the carrier gas (it is assumed that vapor concentration is much lower than the carrier inert gas concentration, ns << n0), and σ is the collisional cross section for vapor and carrier-gas molecules.
средняя длина связи	average bond length	Средняя длина связи Ca–О (2.53 Å) значительно выше средних длин связей в DØ6-октаэдрах лабунцовитов (около 2.1 Å).	The average Ca–O bond length (2.53 Å) exceeds significantly the average bond lengths in the DØ6 octahedra of labuntsovites (about 2.1 Å).
средняя интенсивность рассеяния	average scattering intensity	На вставке средняя интенсивность рассеяния для каждого пикселя AGIPD (а). Автокорреляционные функции g2(q,t) наночастиц 10 нм, диспергированных в воде.	The inset shows the average scattering intensity for each AGIPD pixel. (b) Autocorrelation functions g2(q,t) for 10-nm nanoparticles dispersed in water.
сродство к электрону	electron affinity	В работах [9, 10] молекулы ArO были изучены методом фотоэлектронной спектроскопии, позволяющим определять сродство к электрону, энергии возбужденных электронных состояний и колебательные частоты соответствующих нейтральных молекул.	ArO molecules were studied in [9, 10] by photoelectron spectroscopy, which allows one to determine the electron affinity, energies of the excited electronic states, and vibrational frequencies of the corresponding neutral molecules.
степень ориентационной упорядоченности	degree of orientational order	При использовании теории ориентационных эффектов для магнитных эмульсий необходимо иметь в виду следующее: а) капли эмульсии вытягиваются вдоль направления поля, поэтому в поле всегда присутствует насыщенная степень ориентационной упорядоченности; б) релаксация эффектов происходит одновременно по двум механизмам - вращательная броуновская диффузия и релаксация формы жидкой капли.	When using the theory of orientational effects for magnetic emulsions, one must take into account the following aspects: (i) emulsion droplets are elongated along the field (therefore, a saturated degree of orientational order is always present in the field) and (b) relaxation of the effects occurs simultaneously according to two mechanisms: Brownian rotational diffusion and relaxation of the liquid-droplet shape.
степень циркулярной поляризации	degree of circular polarization	где Ej и Еk – компоненты вектора электрического поля падающего света, i(EE*) определяет степень циркулярной поляризации света, тензор третьего ранга Gijk описывает линейный фотовольтаический эффект, а гиротропный тензор γij – циркулярный.	where Ej and Еk are the components of the electric field vector of incident light, i(EE*) determines the degree of circular polarization of light, the third-rank tensor Gijk describes the linear photovoltaic effect, and the gyrotropic tensor γij describes the circular photovoltaic effect.
структурный тип флюорита	fluorite-type structure	Падение температуры плавления CdF2 почти на 400С – свидетельство того, что структурный тип флюорита резко теряет термическую стабильность при переходе от фторидов ЩЗЭ (II группа, главная подгруппа Периодической системы элементов) к фториду кадмия (II группа, побочная подгруппа).	The decrease in the CdF2 melting temperature by almost 400C indicates that the fluorite-type structure sharply loses the thermal stability when passing from AEE fluorides (main subgroup of group II of the periodic table of elements) to cadmium fluoride (minor subgroup of group II).
судя по всему	to all appearances	Октамеры в среднем демонстрируют более стабильное поведение (их процентные содержания при сравнении с данными, полученными в различных сериях экспериментов на различных источниках, слабо меняются по сравнению с содержанием димеров), в то время как димеры, судя по всему, являются более нестабильными образованиями, и их содержание может значительно меняться в ходе проведения различных экспериментов.	On average, octamers demonstrate more stable behavior (their percentages obtained in different series of experiments on different sources change only slightly, in comparison with the dimer contents), while dimers to all appearances are less stable formations, and their percentages may change significantly in different experiments.
существенно отличаются от	differ significantly from	Однако было обнаружено, что получаемые значения температуры Кюри при приложении магнитного поля различной величины существенно отличаются от теоретически рассчитанных.	However, it was found that the Curie temperatures obtained at application of magnetic fields with different magnitudes differ significantly from the theoretically calculated values.
схема экспериментальной установки	schematic of the experimental setup	Образцы и схема экспериментальной установки	SAMPLES AND SCHEMATIC OF THE EXPERIMENTAL SETUP
так или иначе	somehow or other	Можно видеть, что все эти коэффициенты так или иначе связаны с КТР и особенностями его поведения, в частности, отрицательные значения влияют естественным образом на свойства термомеханических систем.	One can see that all these coefficients are somehow or other related to CTE and specific features of its behavior (in particular, negative values affect naturally the properties of thermomechanical systems).
таким образом, что	so that	Полученную модель проверяли вручную в Coot, большие диапазоны остатков несоответствия и пустые зоны заполняли аланиновыми остатками; при необходимости формировали новые пептидные связи таким образом, чтобы модель состояла из одной цепи.	The obtained model was verified manually in the Coot program (wide ranges of mismatch residues and empty regions were filled with alanineresidues); new peptide bonds were formed (if necessary) so that the model consists of one chain.
тангенс угла наклона	slope	Построив зависимость lnJ = f() (рис. 3), получим тангенс угла наклона: а = .	Plotting the dependence lnJ = f() (Fig. 3), we obtain the slope: а = .
твердотельный лазер с диодной накачкой	diode-pumped solid-state laser	Использовали твердотельный лазер с диодной накачкой с длиной волны излучения 532 нм и мощностью 20 мВт.	A diode-pumped solid-state laser with a wavelength of 532 nm and power of 20 mW was applied.
температура начала кристаллизации	crystallization onset temperature	Эксперименты и полуэмперические теоретические расчеты показали, что при росте эпитаксиальных слоев на подложке кремния доминирующим фактором является температура начала кристаллизации.	Experiments and semi-empirical theoretical calculations show that, during the growth of epitaxial layers on a silicon substrate, the crystallization onset temperature is the dominant factor.
температура равновесия фаз	phase equilibrium temperature	Установлена эмпирическая зависимость между скоростью и температурой в виде 0.6374T 0.9212T2 – 0.01668T3, где Т = Тпр – Т0, Тпр – температура превращения, Т0 – температура равновесия фаз.	An empirical relationship between the growth rate and temperature is established in the form 0.6374T 0.9212T2 – 0.01668T3, where Т = Тtr – Т0, Тtr is the transformation temperature, and Т0 is the phase equilibrium temperature.
температура фазового перехода	phase-transition temperature	На фазовой диаграмме показаны характерные для данного соединения поля и температуры: первое критическое поле НC1 с индукцией ≈ 80 мТл, второе критическое поле НC2 с индукцией ≈600 мТл при T = 4 К, а температура фазового перехода TC ≈ 29 К [37, 38].	The fields and temperatures characteristic of this compound are shown in the phase diagram: the first critical field HC1 with induction of ~80 mT, the second critical field НC2 with induction of ~600 mT at T = 4 K, and the phase-transition temperature TC ≈ 29 K [37, 38].
температурный диапазон существования	temperature range of existence	Отсутствие А-фазы в соединении MnGe, несмотря на широкий температурный диапазон существования геликоидальных флуктуаций, косвенно указывает на то, что основное магнитное состояние системы сформировано за счет других взаимодействий, нежели в случае соединений, родственных MnSi.	Despite the wide temperature range of existence of helicoidal fluctuations, the absence of the A-phase in MnGe indicates indirectly that the fundamental magnetic state of the system is formed due to other interactions than in the case of MnSi-related compounds.
тензор второго ранга	second-rank tensor	где собственный термодинамический коэффициент проводимости  представляет тензор второго ранга.	where the intrinsic thermodynamic coefficient of conductivity  is a second-rank tensor.
тензор третьего ранга	third-rank tensor	где Ej и Еk – компоненты вектора электрического поля падающего света, i(EE*) определяет степень циркулярной поляризации света, тензор третьего ранга Gijk описывает линейный фотовольтаический эффект, а гиротропный тензор γij – циркулярный.	where Ej and Еk are the components of the electric field vector of incident light, i(EE*) determines the degree of circular polarization of light, the third-rank tensor Gijk describes the linear photovoltaic effect, and the gyrotropic tensor γij describes the circular photovoltaic effect.
тензор упругой податливости	elastic compliance tensor	Также показаны соответствующие коэффициенты связи, например электрическая восприимчивость (χE), магнитная восприимчивость (χМ) и тензор упругой податливости S.	The corresponding coupling coefficients are also shown: electric susceptibility (χE), magnetic susceptibility (χМ), and elastic compliance tensor S.
тензор четвертого ранга	fourth-rank tensor	Здесь λiklm = ciklm/ρ, где ciklm – тензор четвертого ранга модулей упругости, ρ – плотность кристалла, n – единичный вектор фазовой нормали, а ub – векторные амплитуды изонормальных волн.	Here, λiklm = ciklm/ρ, where ciklm is the fourth-rank tensor of elastic moduli, ρ is the crystal density, n is the unit vector of the phase normal, and ub are the vector amplitudes of the isonormal waves.
только один раз	only once	Поэтому при изучении упругого рассеяния длина волны может определяться только один раз – либо до, либо после рассеяния на образце, так как сравнительно сильное упругое рассеяние само “отбирает” ту же длину волны в другом “плече” дифракционного эксперимента.	"Therefore, when studying the elastic scattering, the wavelength can be determined only once (either before or after scattering from the sample), because a relatively strong elastic scattering ""selects"" the same wavelength in the other arm of the diffraction experiment."
требует дальнейших исследований	requires further investigations	Изменение состава материала GST в процессе роста поверхностных дефектов может быть еще одним фактором, влияющим на скорость их формирования, и его изучение требует дальнейших исследований.	A change in the composition of the GST material during the growth of surface defects may also affect their formation rate; this factor requires further investigations.
трубка с медным анодом	copper-anode tube	В качестве источника излучения использована рентгеновская трубка с медным анодом, в качестве монохроматора – высокосовершенный кристалл Si(111).	The radiation source was an X-ray copper-anode tube, and the monochromator was a Si(111) crystal of high structural quality.
угловая скорость вращения	rotation speed	Но как быть, если измеряется угловая скорость вращения Земли? В 1925 г. профессор университета Чикаго А.А. Майкельсон (1852–1931) с соавторами осуществил эксперименты по измерению угловой скорости вращения Земли с помощью кольцевого интерферометра размером приблизительно  m [38].	But what about measurements of the Earth rotation speed? In 1925, A.A. Michelson, Prof. of the University of Chicago (1852–1931), with colleagues carried out experiments on measuring the Earth rotation speed using a ring interferometer about 620 × 350 m in size [38].
угловая ширина щели	angular slit width	Требуемая для достижения ширины импульса в 1.33 мс угловая ширина щели составляет 4.8°.	The angular slit width necessary for obtaining a pulse width of 1.33 ms is 4.8°.
угол падения света	angle of incidence of light	Установка была оснащена лазерным эллипсометром ЛЭФ-777 (=632.8 nm, угол падения света 68.3), предназначенным для контроля технологических процессов [21], а также спектральным эллипсометром статического типа [22], на котором проводили измерения эллипсометрических параметров исследуемых образцов в процессе их выращивания.	The setup was equipped with an LEF-777 laser ellipsometer ( = 632.8 nm, angle of incidence of light 68.3), designed for monitoring technological processes [21], and a static spectral ellipsometer [22], used for measuring the ellipsometric parameters of the samples under study during their growth.
угол сдвига фаз	phase shift angle between	При этом в каждом процессе роста кристаллов изменяли частоту магнитного поля и угол сдвига фаз между катушками.	The magnetic field frequency and the phase shift angle between the coils were changed in each growth process.
уменьшается с температурой	decreases with temperature	Жесткость спиновых волн равна  мэВ Å2 при низких температурах и уменьшается с температурой до  мэВ Å2 при TC.	The spin wave stiffness is  meV Å2 at low temperatures and decreases with temperature down to  meV Å2 at TC.
универсальная газовая постоянная	universal gas constant	где φ1 = (X1·Vm,1)/(X1·Vm,1 + X2·Vm,2) – объемная доля растворителя, X1 и X2 – мольные доли растворителя и растворенного вещества соответственно, R – универсальная газовая постоянная, A – параметр, определяющий коэффициент активности Тс в растворе и определяемый с помощью уравнения (2) через известную концентрацию насыщенного раствора при 20С.	where φ1 = (X1·Vm,1)/(X1·Vm,1 + X2·Vm,2) is the volume fraction of the solvent; X1 and X2 are the molar fractions of the solvent and solute, respectively; R is the universal gas constant; and A is a parameter determining the coefficient of Tc activity in solution, which is found using Eq. (2) via the known concentration of saturated solution at 20С.
уравнение четвертой степени	quartic equation	Для k0, являющегося нулевым приближением величины αt, получим уравнение четвертой степени, аналогичное (9):	For k0, which is a zero approximation of the αt value, we obtain the following quartic equation, similar to (9):
условие ближнего поля	near-field condition	Во-первых, расстояние, на котором выполняется условие ближнего поля, весьма мало и может быть порядка десятых долей миллиметра.	First, the distance at which the near-field condition is satisfied is fairly small; it may be on the order of few tenths of a millimeter.
условие фазового синхронизма	phase-matching condition	и реализовано условие фазового синхронизма Δkz = 0, sinpz = 1 и выражение (7) упрощается, что дает возможность получения аналитических решений уравнения теплопроводности.	and the phase-matching condition Δkz = 0 is valid, sinpz = 1 and expression (7) is simplified, which allows one to derive analytical solutions to the heat-conduction equation.
фазовый переход второго рода	second-order phase transition	Чистые кристаллы германата свинца претерпевают фазовый переход второго рода с изменением точечной группы симметрии   3.	Pure lead germanate crystals undergo a second-order phase transition with a change in the point symmetry group:   3.
фазовый переход типа смещения	displacive phase transition	В высокотемпературной параэлектрической фазе соединения имеют кубическую структуру типа NaCl, а при понижении температуры происходит фазовый переход типа смещения (хотя в недавних публикациях появились утверждения, что переход относится к типу порядок–беспорядок) в полярную ромбическую фазу.	In the high-temperature paraelectric phase, these compounds have a cubic NaCl-type structure and undergo a displacive phase transition (although it was characterized as a transition of order–disorder type in recent publications) to the polar orthorhombic phase with a decrease in temperature.
функция распределения электронов по энергиям	electron energy distribution function	Отношение плотности потока вторичных электронов к плотности тока электронов, выходящих с катода, равно y2(1)  1 (табл. 1), поэтому функция распределения электронов по энергиям имеет сильно выраженную пучковую часть и слабо выраженный широкий спектр вторичных электронов, родившихся в слое при ионизации газа пучком электронов.	The ratio of the secondary electron flux density to the current density of electrons emerging from the cathode is y2(1) << 1 (Table 1); therefore, the electron energy distribution function has a pronounced beam part and a weak wide spectrum of secondary electrons produced in the layer during the gas ionization by the electron beam.
хорошо известно, что	it is well known that	Однако хорошо известно, что при реализации дислокационного механизма роста кристалла в стационарном режиме неравновесного процесса тоже наблюдается равномерное распределение ступеней роста [2], что позволяет применять аргументы теории Л.Д.Ландау [4] и для процесса роста.	However, it is well known that implementation of the dislocation mechanism of crystal growth in the stationary mode of nonequilibrium process also leads to a uniform distribution of growth steps [2], due to which the arguments of the Landau theory [4] can be applied to the growth process as well.
цепь, состоящая из	chain consisting of	В независимой части элементарной ячейки кристалла находится одна белковая цепь, состоящая из 219 аминокислотных остатков, и 123 молекулы растворителя.	The asymmetric unit of the crystal structure contains one protein chain consisting of 219 amino acid residues and 123 solvent molecules.
частица высокой энергии	high-energy particle	Быстрая заряженная частица высокой энергии (в нашем случае электрон с энергией 220 keV) при прохождении через газовую среду Ar-CCl4 с низким содержанием галогеносодержащей примеси передает всю свою энергию атомам аргона, образуя ионы Аr+, возбужденные атомы Ar* и электроны ионизационного каскада (реакция 1).	When passing through the Ar–CCl4 gas medium with a low content of halogen-containing impurity, a charged high-energy particle (in our case, 220-keV electron) transfers its entire energy to argon atoms, thus forming Ar+ ions, excited Ar* atoms, and ionization cascade electrons (reaction 1).
частота повторения импульсов	pulse-repetition frequency	Высокая энергия фотонов, и частота повторения импульсов Европейского рентгеновского лазера предъявляют высокие требования к основному детектору рассеяния и дифракции.	The high photon energy, brightness, and pulse-repetition frequency of the European X-ray Laser impose strict requirements on the main scattering and diffraction detector.
что полностью согласуется с	which is in complete agreement with	"По условию (8) зерна породы не должны превышать 1.5–2 см в поперечнике, что полностью согласуется с размером зерен минералов в мантийных ксенолитах из трубок Якутской алмазоносной провинции, составляющих всегда менее 1 см (Музей кимберлитов им. Д.И. Саврасова АК ""АЛРОСА"", г. Мирный, Саха-Якутия)."	Based on condition (8), the rock-grain cross section should not exceed 1.5–2 cm, which is in complete agreement with the grain sizes of minerals in the mantle xenoliths from the pipes of the Yakutian diamond-bearing province, which are always less than 1 cm (Savrasov Museum of Kimberlites, ALROSA, Mirny, Sakha (Yakutia)).
шаг по энергии	energy step	Число каналов в анализаторе N = 2000, шаг по энергии составлял от 0.2 эВ на краях диапазона до 0.6 эВ в центре, он может быть улучшен.	The number of channels in the analyzer was N = 2000, and the energy step varied from 0.2 eV at the range boundaries to 0.6 eV at the center; this parameter can be improved.
ширина центрального пика	width of the central peak	Рассчитаны интенсивность и полуширина центрального пика в широком температурном интервале.	The intensity and half-width of the central peak are calculated in a wide temperature range.
широкий диапазон температур	wide temperature range	Широкий диапазон температур синтеза кристаллических фаз от 280 до 800С согласно данным термогравиметрического анализа обеспечивает их высокую термическую стабильность вплоть до 650С [17, 18].	According to the thermogravimetric analysis, the wide temperature range of the synthesis of crystalline phases from 280 to 800С provides their high thermal stability up to 650С [17, 18].
шихта стехиометрического состава	stoichiometric charge	В качестве исходного материала для выращивания служила шихта стехиометрического состава, полученная методом твердофазного синтеза из смеси исходных оксидов чистоты 99.99%.	The initial growth material was stoichiometric charge obtained by solid-phase synthesis from a mixture of initial oxides (purity 99.99%).
эквивалентная электрическая схема	equivalent electrical circuit	Рис. 3. Годографы импеданса Z*() для системы Ag|керамика|Ag при 297 К (а, б) и эквивалентная электрическая схема (в).	Fig. 3. (a, b) Impedance hodographs Z*() for the Ag|ceramics|Ag system at 297 K and (c) equivalent electrical circuit.
эквивалентные параметры смещений	equivalent displacement parameters	Координаты, кратность позиций (Q) и эквивалентные параметры смещений (Bэкв) атомов каркаса в образце KDK-6626	Atomic coordinates, site multiplicities (Q), and equivalent displacement parameters (Beq) of framework atoms in sample KDK-6626
эквивалентные тепловые параметры	equivalent thermal parameters	Координаты атомов, значения заселенности позиций (q) и эквивалентные тепловые параметры (Uэкв) атомов в структуре Sc1.95Tm0.25B1.80O6	Atomic coordinates, site occupancies q, and equivalent thermal parameters Ueq of atoms in the Sc1.95Tm0.25B1.80O6 structure
экспериментальные данные по	experimental data on	В монографии [8] приведены экспериментальные данные по КТР этого сплава и обсуждаются некоторые теоретические модели этого явления.	The experimental data on CTE of this alloy were reported in [8], where some theoretical models of this phenomenon are also discussed.
экспериментальные и расчетные значения	experimental and calculated values	Экспериментальные и расчетные значения пьезофотовольтаических деформаций хорошо соотносятся между собой.	The experimental and calculated values of piezophotovoltaic deformations are consistent.
эксперименты по генерации	experiments on generation	Успешные эксперименты по генерации пар запутанных фотонов в процессе спонтанного параметрического рассеяния (spontaneous parametric down-conversion), известного также как параметрическая флуоресценция с энергиями 10.5 кэВ [42], открывают возможности для интерференционных экспериментов в рентгеновском диапазоне, в том числе для рентгеновской визуализации без взаимодействия [43].	Successful experiments on generation of entangled photon pairs during spontaneous parametric down-conversion (also known as parametric fluorescence with energies of 10.5 keV [42]) provide new opportunities for interference experiments in the X-ray range, including X-ray imaging without interaction [43].
электронные и оптические свойства	electronic and optical properties	Уникальные электронные и оптические свойства атомарно тонких двумерных (2D) материалов, таких как графен, оксид графена, дисульфид молибдена и другие, демонстрируют огромный потенциал для создания нано- и биоэлектроники сверхвысокой плотности для инновационных информационных систем.	Due to their unique electronic and optical properties, atomically thin two-dimensional (2D) materials (e.g., graphene, graphene oxide, molybdenum disulfide, etc.) exhibit great potential for the formation of nanoelectronic and bioelectronic devices of ultrahigh density for cutting-edge information systems.
